date_of_race,horse_name,horse_odds,race_venue,ew_stake,balance,rating,current_time,expected_value,expected_return,win_stake,place_stake,lay_odds,lay_odds_place,betfair_balance,max_profit,is_lay,win_matched,lay_matched,arbritrage_profit
03 Jan 14:02 2021,Frimeur De Lancray,2.25,Catterick,0.58,59.11,99.91,03/01/2021 08:06:56,1.67%,0.01,2.42,1.15,0,0,93.28,0.12,False,0,0,0
03 Jan 14:02 2021,Finisk River,3.25,Catterick,2.40,57.95,95.13,03/01/2021 08:07:35,0,0,2.0,3.95,3.95,1.29,86.57,1.56,True,2.0,0.0,0.23
03 Jan 14:02 2021,Gold Desert,3.75,Catterick,2.32,53.15,95.89,03/01/2021 09:05:30,0,0,2.0,2.68,4.4,1.39,87.57,1.36,True,2.0,2.68,0.19
03 Jan 15:50 2021,Tempo Chapter Two,101.0,Fairyhouse,0.1,53.15,103.31,03/01/2021 12:01:32,11.11%,0.01,1.31,12.43,500.0,11.0,91.34,0.43,False,0,0,0
03 Jan 15:07 2021,Rollerball Rocco,10.0,Catterick,0.16,52.95,100.54,03/01/2021 12:10:46,4.23%,0.01,38.85,39.12,9.8,2.74,91.34,0.41,False,0,0,0
03 Jan 15:20 2021,Forza Milan,3.75,Fairyhouse,2.16,52.63,95.47,03/01/2021 13:07:34,0,0,2.0,2.34,4.1,1.48,84.12,1.5,True,2.0,0.0,0.2
04 Jan 15:25 2021,The Wrekin,6.0,Fakenham,2.05,68.42,95.31,04/01/2021 10:08:33,0,0,2.0,2.11,6.2,1.99,83.54,1.5,True,2.0,2.11,0.19
05 Jan 18:10 2021,Radrizzani,3.0,Wolverhampton,3.1,64.32,96.39,05/01/2021 12:03:29,0,0,2.95,3.34,3.2,1.35,92.5,1.12,True,2.95,3.34,0.22
05 Jan 13:10 2021,Melody Of Life,3.0,Lingfield,4.9,58.12,95.56,05/01/2021 12:04:51,0,0,4.14,5.72,3.6,1.25,80.51,2.18,True,4.14,5.72,0.44
06 Jan 13:15 2021,Andalaska Bear,126.0,Wolverhampton,0.12,49.2,110.04,06/01/2021 11:25:03,24.31%,0.03,2.7,10.77,280.0,14.5,109.43,1.2,False,0,0,0
